id,supplier_ext_id,name,logo_url,url,load_id,source_created
247,2044,Apache ServiceMix,,https://servicemix.apache.org/,99,2021-07-02
248,2045,Neova Health,,https://neovahealth.co.uk/,99,2021-07-02
249,2046,PowerHealth Solutions,,https://www.powerhealthsolutions.com/,99,2021-07-02
250,2047,MDI Cloud,,,99,2021-07-02
251,2048,Novacor UK,Novacor.jpg,www.novacor.co.uk,99,2021-07-02
252,2049,Else Software Services,,,99,2021-07-02
253,2050,SynApps,,https://www.synapps-solutions.com/about-us,99,2021-07-02
254,2051,Software of Excellence,Software of Excellence.jpg,www.soeidental.com,99,2021-07-02
255,2052,Quadramed,Quadramed.jpg,www.quadramed.com,99,2021-07-02
256,2053,SCC,,https://www.scc.com/healthcare/,99,2021-07-02
257,2054,RIXG,,https://www.patientview.org/#/,999,2021-12-15
258,2057,North 51,,https://www.bionical.com/home,99,2021-07-02
259,2058,Magnus Medical Software,Magnus Medical Software.jpg,https://magnushealth.com/,99,2021-07-02
260,2059,Symbiosis,,https://www.symbiosis.co.uk/,99,2021-07-02
261,2060,Leicestershire Health Informatics Service,,https://www.leics-his.nhs.uk/,99,2021-07-02
262,2061,University of Wales,,https://www.wales.ac.uk/en/Home.aspx,99,2021-07-02
263,2062,Unify,,https://unify.com/en/,99,2021-07-02
264,2063,Integra,Integra.jpg,www.integralife.com,99,2021-07-02
265,2064,Northern Lincolnshire and Goole NHS Foundation Trust,,https://www.nlg.nhs.uk/,99,2021-07-02
266,2065,East Midlands radiology service,,https://www.emrad.nhs.uk/,99,2021-07-02
267,2066,NHS England,,https://www.england.nhs.uk/,99,2021-07-02
268,2067,Royal Liverpool and Broadgreen University Hospitals NHS Trust,,https://www.rlbuht.nhs.uk/,99,2021-07-02
269,2068,Hyland,,https://www.hyland.com/en-GB,99,2021-07-02
270,2069,Clikhealth,,http://clikhealthsolutions.co.uk/,99,2021-07-02
271,2070,Eurofree,,,99,2021-07-02
272,2071,ehealth innovations,,https://ehealthinnovation.org/,99,2021-07-02
273,2072,Hicom,,https://www.hicom.co.uk/,99,2021-07-02
274,2073,Greater Manchester CSU,,https://www.gmsharedservices.nhs.uk/,99,2021-07-02
275,2074,3E Europe Ltd,3 E Europe.jpg,https://3e.co.uk/pub/,99,2021-07-02
276,2075,HISBI Data Warehousing,,,99,2021-07-02
277,2076,Bankside,,,99,2021-07-02
278,2077,Ssentif,,,99,2021-07-02
279,2078,Sopra Steria,,http://www.soprasteria.com,99,2021-07-02
280,2079,Chemocare,,http://chemocare.com/,99,2021-07-02
281,2080,Blithe,,,99,2021-07-02
282,2083,QES,,https://www.qes-online.co.uk/,99,2021-07-02
283,2084,Finapres Medical Systems,Finapres Medical Systems.jpg,https://www.finapres.com/,99,2021-07-02
284,2085,Toshiba,Toshiba.jpg,www.toshiba.co.uk,99,2021-07-02
285,2086,Cedar,,,99,2021-07-02
286,2087,Atos,Atos.jpg,https://atos.net/en-gb/united-kingdom,999,2021-12-15
287,2088,Microtech,microtech.jpg,www.microtech.com,99,2021-07-02
288,2089,RotaMaster,,https://www.rotamaster.co.uk/,99,2021-07-02
289,2090,Nugensis,,https://www.nugensis.co.uk/,99,2021-07-02
290,2091,Cambric Systems,Cambric-crop.jpg,https://www.cambric.co.uk/,99,2021-07-02
291,2092,Auditdata,,https://www.auditdata.com/,99,2021-07-02
292,2093,NSS,NSS (National Services Scotland).jpg,www.nhsnss.org,99,2021-07-02
293,2094,Optima Medical,Optima Medical.jpg,www.neurophys.co.uk,99,2021-07-02
294,2095,Unisoft Medical Systems,Unisoft Medical Systems.jpg,https://www.unisoftmedical.com/,99,2021-07-02
295,2096,Abertay University,,https://www.abertay.ac.uk/,999,2021-12-15
296,2097,NHS Tayside,NHS Tayside.jpg,www.nhstayside.scot.nhs.uk,99,2021-07-02
297,2098,Ethitec,Ethitec.jpg,https://www.ethitec.com/,99,2021-07-02
298,2099,The Solution Works,The Solution Works.jpg,www.solutionworks.co.uk,99,2021-07-02
299,2100,National Health Services Scotland (NHSS),,https://nhsnss.org/,99,2021-07-02
300,2101,Agilent,,https://www.agilent.com/,99,2021-07-02
301,2102,NHS National Service Scotland,,https://nhsnss.org/,99,2021-07-02
302,2103,Genisys Technology,Genisys Technology.jpg,http://www.genisystechnology.co.uk/,99,2021-07-02
303,2104,INPS,INPS.jpg,www.inps4.co.uk,99,2021-07-02
304,2105,Renal Information Exchange Group,,https://www.thinkkidneys.nhs.uk/ckd/useful-links/renal-information-exchange-group/,99,2021-07-02
305,2106,Biogene,,https://www.biogene.com/,99,2021-07-02
306,2107,X-Lab,,https://www.x-labsystems.co.uk/,99,2021-07-02
307,2108,LRS Health,LRS Health.jpg,www.lrshealth.com.au,99,2021-07-02
308,2109,Dacoll,Dacoll.jpg,https://dacollgroup.co.uk/,99,2021-07-02
309,2110,e-docs UK,,https://www.edocuments.co.uk/,99,2021-07-02
310,2111,NorthgateArinso,,https://www.ngahr.com/our-story,99,2021-07-02
311,2112,NHS Grampian,NHS Grampian.jpg,www.nhsgrampian.org,99,2021-07-02
312,2113,SCI,,,99,2021-07-02
313,2114,Scottish Government,Scottish Government.jpg,home.scotland.gov.uk,99,2021-07-02
314,2115,Maxima Solutions,,https://maximasolutions.co.in/,99,2021-07-02
315,2116,inFlow,InFlow.jpg,www.inflowinventory.com,99,2021-07-02
316,2117,Tribal Group,,https://www.tribalgroup.com/,99,2021-07-02
317,2118,Sword Group,,https://www.sword-group.com/,99,2021-07-02
318,2119,Specialist Computer Services,,,99,2021-07-02
319,2122,Excalibur Systems,,http://www.excalibursystems.com/,99,2021-07-02
320,2123,Various,,,99,2021-07-02
321,2124,WASP,,http://www.waspsoftware.co.uk/,99,2021-07-02
322,2125,Timeware Software,,https://www.timeware.co.uk/,99,2021-07-02
323,2126,LloydsPharmacy,,https://lloydspharmacy.com/,99,2021-07-02
324,2127,Rx-info,RX Info.jpg,www.rx-info.co.uk,99,2021-07-02
325,2128,PPIB,,https://nhsprocurement.org.uk/abhi-position-on-the-ppib-tool/,99,2021-07-02
326,2129,The NJR Centre,The NJR Centre.jpg,www.njrcentre.org.uk,99,2021-07-02
327,2130,Nucletron,Nucletron.jpg,www.nucletron.com,99,2021-07-02
328,2131,HT Projects,,https://www.htprojects.co.uk/,99,2021-07-02
329,2132,PCMIS,,https://www.york.ac.uk/healthsciences/pc-mis/,99,2021-07-02
330,2134,TMS Insight,TMS Insight.jpg,www.tmsinsight.com,99,2021-07-02
331,2137,Kodak,Kodak.jpg,www.kodak.com,999,2021-12-15
332,2138,East Kent Business Intelligence (EKBI),,,99,2021-07-02
333,2139,Evolution Healthcare Systems,,https://www.evolutionhealthcaresystems.co.uk/,99,2021-07-02
334,2140,Newmans,,https://www.newmanbs.co.uk/services,99,2021-07-02
335,2141,4S Information Systems,4s.gif,http://www.4s-dawn.com/,99,2021-07-02
336,2142,POWERtec Systems and Consultancy,,,99,2021-07-02
337,2143,SAS,,http://www.sas.com,99,2021-07-02
338,2144,Cymbio,cymbio.jpg,https://capitahealthcaredecisions.com/,99,2021-07-02
339,2146,VitalPulse,Vitalpulse.jpg,www.vitalpulse.com,99,2021-07-02
340,2147,AES Medical,AES Group.jpg,https://www.aesgrp.com/healthcare/,99,2021-07-02
341,2148,NantHealth,,https://nanthealth.com/,99,2021-07-02
342,2149,Xanadutec,,https://xanadutec.com/,99,2021-07-02
343,2150,Genomics England,,https://www.genomicsengland.co.uk/,99,2021-07-02
344,2151,Feedback Medical,Cambridge Computed Imaging.jpg,https://fbkmed.com/,3116,2022-09-15
345,2152,Merge Healthcare,merge_healthcare.jpg,www.merge.com,99,2021-07-02
346,2153,The Gallery Partnership,image131.gif,www.gallerypartnership.co.uk,99,2021-07-02
347,2154,B-Plan Information Systems,,https://www.b-plan.com/,99,2021-07-02
348,2155,Xerox,Xerox.jpg,www.xerox.co.uk,99,2021-07-02
349,2156,BookWise Solutions,BookWise Solutions.jpg,https://www.bookwisesolutions.com/,99,2021-07-02
350,2157,NHS SBS,,https://www.sbs.nhs.uk/,99,2021-07-02
351,2158,Indigo Mountain,,https://indigomountain.co.uk/,99,2021-07-02
